panel,backend,x,condition,phase,op,metric,n,median,min,max
fig1b,bam,1,writers=1,postwrite-read,read,bandwidth_gib_s,3,1.849487147,1.846821987,1.849875971
fig1b,bam,1,writers=1,write,write,bandwidth_gib_s,3,0.177254999,0.177208557,0.177720975
fig1b,bam,1,writers=512,postwrite-read,read,bandwidth_gib_s,3,0.233424389,0.232814208,0.301030493
fig1b,bam,1,writers=512,write,write,bandwidth_gib_s,3,3.377122489,3.36765426,3.463257635
fig1b,bam,4,writers=1,postwrite-read,read,bandwidth_gib_s,3,2.213940515,1.957965057,2.221419109
fig1b,bam,4,writers=1,write,write,bandwidth_gib_s,3,0.177436029,0.177408884,0.177634267
fig1b,bam,4,writers=512,postwrite-read,read,bandwidth_gib_s,3,0.473420108,0.469354992,0.503732738
fig1b,bam,4,writers=512,write,write,bandwidth_gib_s,3,3.366563006,3.357950584,3.444251953
fig1b,bam,16,writers=1,postwrite-read,read,bandwidth_gib_s,3,5.558282754,5.551647065,5.559453518
fig1b,bam,16,writers=1,write,write,bandwidth_gib_s,3,0.177272735,0.177254462,0.177686235
fig1b,bam,16,writers=512,postwrite-read,read,bandwidth_gib_s,3,0.722629142,0.7088081,0.735219415
fig1b,bam,16,writers=512,write,write,bandwidth_gib_s,3,3.379272728,3.372364375,3.43450059
fig1b,bam,64,writers=1,postwrite-read,read,bandwidth_gib_s,3,6.177178203,6.16450565,6.179132811
fig1b,bam,64,writers=1,write,write,bandwidth_gib_s,3,0.17742659,0.177336208,0.177794184
fig1b,bam,64,writers=512,postwrite-read,read,bandwidth_gib_s,3,0.631379645,0.622505977,0.797032533
fig1b,bam,64,writers=512,write,write,bandwidth_gib_s,3,3.365333166,3.277055283,3.432243565
fig1b,bam,128,writers=1,postwrite-read,read,bandwidth_gib_s,3,5.947831232,5.91863253,5.976478377
fig1b,bam,128,writers=1,write,write,bandwidth_gib_s,3,0.177981777,0.17707864,0.177999071
fig1b,bam,128,writers=512,postwrite-read,read,bandwidth_gib_s,3,1.120935642,1.11859626,1.480694621
fig1b,bam,128,writers=512,write,write,bandwidth_gib_s,3,3.390476928,3.356899998,3.454828341
fig1b,bam,256,writers=1,postwrite-read,read,bandwidth_gib_s,3,5.190478178,5.175678167,5.215649304
fig1b,bam,256,writers=1,write,write,bandwidth_gib_s,3,0.177393779,0.177157281,0.177926621
fig1b,bam,256,writers=512,postwrite-read,read,bandwidth_gib_s,3,1.46178208,1.460511848,1.463128997
fig1b,bam,256,writers=512,write,write,bandwidth_gib_s,3,3.441629985,3.378220601,3.445199636
